date,sunrise,sunset,solar_noon,day_length,civil_twilight_begin,civil_twilight_end,nautical_twilight_begin,nautical_twilight_end,astronomical_twilight_begin,astronomical_twilight_end
2021-01-12,2021-01-12 06:10:22+11:00,2021-01-12 20:46:24+11:00,2021-01-12 13:28:23+11:00,52562,2021-01-12 05:41:25+11:00,2021-01-12 21:15:21+11:00,2021-01-12 05:03:33+11:00,2021-01-12 21:53:13+11:00,2021-01-12 04:21:23+11:00,2021-01-12 22:35:24+11:00
2016-02-27,2016-02-27 07:00:22+11:00,2016-02-27 20:05:39+11:00,2016-02-27 13:33:00+11:00,47117,2016-02-27 06:34:49+11:00,2016-02-27 20:31:11+11:00,2016-02-27 06:02:48+11:00,2016-02-27 21:03:12+11:00,2016-02-27 05:29:34+11:00,2016-02-27 21:36:26+11:00
2016-07-22,2016-07-22 07:26:51+10:00,2016-07-22 17:26:23+10:00,2016-07-22 12:26:37+10:00,35972,2016-07-22 06:59:53+10:00,2016-07-22 17:53:21+10:00,2016-07-22 06:27:48+10:00,2016-07-22 18:25:26+10:00,2016-07-22 05:56:28+10:00,2016-07-22 18:56:46+10:00
2021-06-15,2021-06-15 07:32:23+10:00,2021-06-15 17:08:51+10:00,2021-06-15 12:20:37+10:00,34588,2021-06-15 07:04:30+10:00,2021-06-15 17:36:44+10:00,2021-06-15 06:31:35+10:00,2021-06-15 18:09:39+10:00,2021-06-15 05:59:36+10:00,2021-06-15 18:41:37+10:00
2016-05-18,2016-05-18 07:14:42+10:00,2016-05-18 17:18:27+10:00,2016-05-18 12:16:34+10:00,36225,2016-05-18 06:47:53+10:00,2016-05-18 17:45:16+10:00,2016-05-18 06:15:57+10:00,2016-05-18 18:17:12+10:00,2016-05-18 05:44:42+10:00,2016-05-18 18:48:27+10:00
2016-04-23,2016-04-23 06:52:46+10:00,2016-04-23 17:44:09+10:00,2016-04-23 12:18:27+10:00,39083,2016-04-23 06:27:16+10:00,2016-04-23 18:09:39+10:00,2016-04-23 05:56:29+10:00,2016-04-23 18:40:25+10:00,2016-04-23 05:26:00+10:00,2016-04-23 19:10:54+10:00
2015-05-24,2015-05-24 07:18:53+10:00,2015-05-24 17:14:56+10:00,2015-05-24 12:16:55+10:00,35763,2015-05-24 06:51:47+10:00,2015-05-24 17:42:02+10:00,2015-05-24 06:19:36+10:00,2015-05-24 18:14:14+10:00,2015-05-24 05:48:10+10:00,2015-05-24 18:45:39+10:00
2018-09-23,2018-09-23 06:07:03+10:00,2018-09-23 18:18:15+10:00,2018-09-23 12:12:39+10:00,43872,2018-09-23 05:42:12+10:00,2018-09-23 18:43:06+10:00,2018-09-23 05:11:35+10:00,2018-09-23 19:13:44+10:00,2018-09-23 04:40:31+10:00,2018-09-23 19:44:48+10:00
2021-04-28,2021-04-28 06:57:05+10:00,2021-04-28 17:38:15+10:00,2021-04-28 12:17:40+10:00,38470,2021-04-28 06:31:21+10:00,2021-04-28 18:03:58+10:00,2021-04-28 06:00:24+10:00,2021-04-28 18:34:56+10:00,2021-04-28 05:29:49+10:00,2021-04-28 19:05:31+10:00
2021-05-30,2021-05-30 07:23:41+10:00,2021-05-30 17:11:39+10:00,2021-05-30 12:17:40+10:00,35278,2021-05-30 06:56:17+10:00,2021-05-30 17:39:04+10:00,2021-05-30 06:23:48+10:00,2021-05-30 18:11:33+10:00,2021-05-30 05:52:10+10:00,2021-05-30 18:43:11+10:00
2015-12-02,2015-12-02 05:50:15+11:00,2015-12-02 20:28:18+11:00,2015-12-02 13:09:17+11:00,52683,2015-12-02 05:21:12+11:00,2015-12-02 20:57:22+11:00,2015-12-02 04:43:08+11:00,2015-12-02 21:35:25+11:00,2015-12-02 04:00:38+11:00,2015-12-02 22:17:55+11:00
2020-06-10,2020-06-10 07:30:20+10:00,2020-06-10 17:08:54+10:00,2020-06-10 12:19:37+10:00,34714,2020-06-10 07:02:33+10:00,2020-06-10 17:36:42+10:00,2020-06-10 06:29:43+10:00,2020-06-10 18:09:32+10:00,2020-06-10 05:57:48+10:00,2020-06-10 18:41:26+10:00
2016-07-19,2016-07-19 07:28:48+10:00,2016-07-19 17:24:08+10:00,2016-07-19 12:26:28+10:00,35720,2016-07-19 07:01:40+10:00,2016-07-19 17:51:16+10:00,2016-07-19 06:29:27+10:00,2016-07-19 18:23:29+10:00,2016-07-19 05:58:00+10:00,2016-07-19 18:54:56+10:00
2020-11-16,2020-11-16 05:57:26+11:00,2020-11-16 20:12:24+11:00,2020-11-16 13:04:55+11:00,51298,2020-11-16 05:29:33+11:00,2020-11-16 20:40:18+11:00,2020-11-16 04:53:30+11:00,2020-11-16 21:16:20+11:00,2020-11-16 04:14:16+11:00,2020-11-16 21:55:35+11:00
2015-12-08,2015-12-08 05:49:39+11:00,2015-12-08 20:33:48+11:00,2015-12-08 13:11:43+11:00,53049,2015-12-08 05:20:14+11:00,2015-12-08 21:03:12+11:00,2015-12-08 04:41:34+11:00,2015-12-08 21:41:52+11:00,2015-12-08 03:58:03+11:00,2015-12-08 22:25:23+11:00
2020-01-15,2020-01-15 06:12:41+11:00,2020-01-15 20:45:46+11:00,2020-01-15 13:29:13+11:00,52385,2020-01-15 05:43:54+11:00,2020-01-15 21:14:33+11:00,2020-01-15 05:06:18+11:00,2020-01-15 21:52:09+11:00,2020-01-15 04:24:35+11:00,2020-01-15 22:33:52+11:00
2017-08-16,2017-08-16 07:02:18+10:00,2017-08-16 17:46:38+10:00,2017-08-16 12:24:28+10:00,38660,2017-08-16 06:36:38+10:00,2017-08-16 18:12:18+10:00,2017-08-16 06:05:45+10:00,2017-08-16 18:43:11+10:00,2017-08-16 05:35:12+10:00,2017-08-16 19:13:44+10:00
2020-05-05,2020-05-05 07:03:33+10:00,2020-05-05 17:30:07+10:00,2020-05-05 12:16:50+10:00,37594,2020-05-05 06:37:27+10:00,2020-05-05 17:56:13+10:00,2020-05-05 06:06:10+10:00,2020-05-05 18:27:30+10:00,2020-05-05 05:35:22+10:00,2020-05-05 18:58:18+10:00
2016-08-16,2016-08-16 07:02:00+10:00,2016-08-16 17:46:50+10:00,2016-08-16 12:24:25+10:00,38690,2016-08-16 06:36:21+10:00,2016-08-16 18:12:29+10:00,2016-08-16 06:05:28+10:00,2016-08-16 18:43:22+10:00,2016-08-16 05:34:55+10:00,2016-08-16 19:13:55+10:00
2016-11-16,2016-11-16 05:57:28+11:00,2016-11-16 20:12:23+11:00,2016-11-16 13:04:55+11:00,51295,2016-11-16 05:29:34+11:00,2016-11-16 20:40:16+11:00,2016-11-16 04:53:32+11:00,2016-11-16 21:16:18+11:00,2016-11-16 04:14:18+11:00,2016-11-16 21:55:33+11:00
2017-01-18,2017-01-18 06:16:41+11:00,2017-01-18 20:44:19+11:00,2017-01-18 13:30:30+11:00,52058,2017-01-18 05:48:10+11:00,2017-01-18 21:12:49+11:00,2017-01-18 05:11:04+11:00,2017-01-18 21:49:55+11:00,2017-01-18 04:30:09+11:00,2017-01-18 22:30:51+11:00
2020-12-04,2020-12-04 05:49:48+11:00,2020-12-04 20:30:55+11:00,2020-12-04 13:10:22+11:00,52867,2020-12-04 05:20:34+11:00,2020-12-04 21:00:09+11:00,2020-12-04 04:42:12+11:00,2020-12-04 21:38:31+11:00,2020-12-04 03:59:13+11:00,2020-12-04 22:21:31+11:00
2016-09-26,2016-09-26 06:01:38+10:00,2016-09-26 18:21:16+10:00,2016-09-26 12:11:27+10:00,44378,2016-09-26 05:36:44+10:00,2016-09-26 18:46:09+10:00,2016-09-26 05:05:59+10:00,2016-09-26 19:16:55+10:00,2016-09-26 04:34:41+10:00,2016-09-26 19:48:13+10:00
2015-08-04,2015-08-04 07:16:28+10:00,2015-08-04 17:36:09+10:00,2015-08-04 12:26:19+10:00,37181,2015-08-04 06:50:09+10:00,2015-08-04 18:02:28+10:00,2015-08-04 06:18:41+10:00,2015-08-04 18:33:56+10:00,2015-08-04 05:47:47+10:00,2015-08-04 19:04:51+10:00
2020-08-11,2020-08-11 07:08:01+10:00,2020-08-11 17:42:40+10:00,2020-08-11 12:25:21+10:00,38079,2020-08-11 06:42:08+10:00,2020-08-11 18:08:34+10:00,2020-08-11 06:11:02+10:00,2020-08-11 18:39:40+10:00,2020-08-11 05:40:22+10:00,2020-08-11 19:10:20+10:00
2018-04-07,2018-04-07 06:37:54+10:00,2018-04-07 18:06:53+10:00,2018-04-07 12:22:24+10:00,41339,2018-04-07 06:12:58+10:00,2018-04-07 18:31:50+10:00,2018-04-07 05:42:34+10:00,2018-04-07 19:02:14+10:00,2018-04-07 05:12:08+10:00,2018-04-07 19:32:40+10:00
2021-09-26,2021-09-26 06:01:57+10:00,2021-09-26 18:21:05+10:00,2021-09-26 12:11:31+10:00,44348,2021-09-26 05:37:04+10:00,2021-09-26 18:45:58+10:00,2021-09-26 05:06:19+10:00,2021-09-26 19:16:43+10:00,2021-09-26 04:35:02+10:00,2021-09-26 19:48:00+10:00
2016-04-26,2016-04-26 06:55:28+10:00,2016-04-26 17:40:24+10:00,2016-04-26 12:17:56+10:00,38696,2016-04-26 06:29:50+10:00,2016-04-26 18:06:02+10:00,2016-04-26 05:58:56+10:00,2016-04-26 18:36:56+10:00,2016-04-26 05:28:24+10:00,2016-04-26 19:07:28+10:00
2018-02-07,2018-02-07 06:39:04+11:00,2018-02-07 20:29:24+11:00,2018-02-07 13:34:14+11:00,49820,2018-02-07 06:12:12+11:00,2018-02-07 20:56:16+11:00,2018-02-07 05:37:54+11:00,2018-02-07 21:30:33+11:00,2018-02-07 05:01:20+11:00,2018-02-07 22:07:08+11:00
2016-05-14,2016-05-14 07:11:22+10:00,2016-05-14 17:21:36+10:00,2016-05-14 12:16:29+10:00,36614,2016-05-14 06:44:46+10:00,2016-05-14 17:48:12+10:00,2016-05-14 06:13:01+10:00,2016-05-14 18:19:57+10:00,2016-05-14 05:41:56+10:00,2016-05-14 18:51:02+10:00
2020-02-19,2020-02-19 06:51:53+11:00,2020-02-19 20:16:10+11:00,2020-02-19 13:34:02+11:00,48257,2020-02-19 06:25:53+11:00,2020-02-19 20:42:11+11:00,2020-02-19 05:53:02+11:00,2020-02-19 21:15:02+11:00,2020-02-19 05:18:35+11:00,2020-02-19 21:49:28+11:00
2021-02-02,2021-02-02 06:33:39+11:00,2021-02-02 20:33:58+11:00,2021-02-02 13:33:48+11:00,50419,2021-02-02 06:06:24+11:00,2021-02-02 21:01:13+11:00,2021-02-02 05:31:27+11:00,2021-02-02 21:36:10+11:00,2021-02-02 04:53:53+11:00,2021-02-02 22:13:44+11:00
2020-07-24,2020-07-24 07:25:24+10:00,2020-07-24 17:27:57+10:00,2020-07-24 12:26:41+10:00,36153,2020-07-24 06:58:32+10:00,2020-07-24 17:54:49+10:00,2020-07-24 06:26:34+10:00,2020-07-24 18:26:48+10:00,2020-07-24 05:55:18+10:00,2020-07-24 18:58:04+10:00
2016-04-30,2016-04-30 06:59:04+10:00,2016-04-30 17:35:39+10:00,2016-04-30 12:17:21+10:00,38195,2016-04-30 06:33:13+10:00,2016-04-30 18:01:29+10:00,2016-04-30 06:02:10+10:00,2016-04-30 18:32:33+10:00,2016-04-30 05:31:32+10:00,2016-04-30 19:03:11+10:00
2016-12-09,2016-12-09 05:49:43+11:00,2016-12-09 20:35:17+11:00,2016-12-09 13:12:30+11:00,53134,2016-12-09 05:20:13+11:00,2016-12-09 21:04:46+11:00,2016-12-09 04:41:24+11:00,2016-12-09 21:43:35+11:00,2016-12-09 03:57:39+11:00,2016-12-09 22:27:20+11:00
2014-09-24,2014-09-24 06:05:33+10:00,2014-09-24 18:19:05+10:00,2014-09-24 12:12:19+10:00,44012,2014-09-24 05:40:41+10:00,2014-09-24 18:43:57+10:00,2014-09-24 05:10:02+10:00,2014-09-24 19:14:36+10:00,2014-09-24 04:38:54+10:00,2014-09-24 19:45:44+10:00
2015-07-13,2015-07-13 07:32:13+10:00,2015-07-13 17:19:26+10:00,2015-07-13 12:25:50+10:00,35233,2015-07-13 07:04:47+10:00,2015-07-13 17:46:52+10:00,2015-07-13 06:32:17+10:00,2015-07-13 18:19:23+10:00,2015-07-13 06:00:37+10:00,2015-07-13 18:51:03+10:00
2020-09-13,2020-09-13 06:21:50+10:00,2020-09-13 18:10:14+10:00,2020-09-13 12:16:02+10:00,42504,2020-09-13 05:57:00+10:00,2020-09-13 18:35:04+10:00,2020-09-13 05:26:35+10:00,2020-09-13 19:05:29+10:00,2020-09-13 04:55:57+10:00,2020-09-13 19:36:07+10:00
2022-01-29,2022-01-29 06:28:47+11:00,2022-01-29 20:37:34+11:00,2022-01-29 13:33:10+11:00,50927,2022-01-29 06:01:11+11:00,2022-01-29 21:05:10+11:00,2022-01-29 05:25:37+11:00,2022-01-29 21:40:44+11:00,2022-01-29 04:47:07+11:00,2022-01-29 22:19:14+11:00
2014-10-27,2014-10-27 06:17:54+11:00,2014-10-27 19:50:13+11:00,2014-10-27 13:04:04+11:00,48739,2014-10-27 05:51:39+11:00,2014-10-27 20:16:28+11:00,2014-10-27 05:18:24+11:00,2014-10-27 20:49:43+11:00,2014-10-27 04:43:22+11:00,2014-10-27 21:24:45+11:00
2016-07-06,2016-07-06 07:34:12+10:00,2016-07-06 17:15:40+10:00,2016-07-06 12:24:56+10:00,34888,2016-07-06 07:06:31+10:00,2016-07-06 17:43:20+10:00,2016-07-06 06:33:48+10:00,2016-07-06 18:16:03+10:00,2016-07-06 06:01:58+10:00,2016-07-06 18:47:53+10:00
2015-07-25,2015-07-25 07:25:15+10:00,2015-07-25 17:28:06+10:00,2015-07-25 12:26:40+10:00,36171,2015-07-25 06:58:23+10:00,2015-07-25 17:54:57+10:00,2015-07-25 06:26:25+10:00,2015-07-25 18:26:55+10:00,2015-07-25 05:55:09+10:00,2015-07-25 18:58:11+10:00
2017-03-08,2017-03-08 07:10:13+11:00,2017-03-08 19:51:42+11:00,2017-03-08 13:30:57+11:00,45689,2017-03-08 06:45:06+11:00,2017-03-08 20:16:49+11:00,2017-03-08 06:13:52+11:00,2017-03-08 20:48:03+11:00,2017-03-08 05:41:48+11:00,2017-03-08 21:20:07+11:00
2021-01-22,2021-01-22 06:21:07+11:00,2021-01-22 20:42:13+11:00,2021-01-22 13:31:40+11:00,51666,2021-01-22 05:52:56+11:00,2021-01-22 21:10:24+11:00,2021-01-22 05:16:24+11:00,2021-01-22 21:46:56+11:00,2021-01-22 04:36:23+11:00,2021-01-22 22:26:57+11:00
2017-07-07,2017-07-07 07:34:01+10:00,2017-07-07 17:16:05+10:00,2017-07-07 12:25:03+10:00,34924,2017-07-07 07:06:22+10:00,2017-07-07 17:43:44+10:00,2017-07-07 06:33:40+10:00,2017-07-07 18:16:26+10:00,2017-07-07 06:01:52+10:00,2017-07-07 18:48:15+10:00
2017-03-04,2017-03-04 07:06:14+11:00,2017-03-04 19:57:32+11:00,2017-03-04 13:31:53+11:00,46278,2017-03-04 06:40:59+11:00,2017-03-04 20:22:47+11:00,2017-03-04 06:09:27+11:00,2017-03-04 20:54:19+11:00,2017-03-04 05:36:56+11:00,2017-03-04 21:26:50+11:00
2016-02-15,2016-02-15 06:47:28+11:00,2016-02-15 20:21:07+11:00,2016-02-15 13:34:17+11:00,48819,2016-02-15 06:21:11+11:00,2016-02-15 20:47:24+11:00,2016-02-15 05:47:52+11:00,2016-02-15 21:20:43+11:00,2016-02-15 05:12:44+11:00,2016-02-15 21:55:51+11:00
